keyPath,occurrences,recordsWithPath,presencePct,jsonTypes,distinctValues,examples
otherTitles[],8,7,63.6,string,6,Project Files ⁝ Project Files (Section 661) ⁝ Information Resource Center Project Records
physicalOccurrences,11,11,100.0,array,0,
physicalOccurrences[],11,11,100.0,object,0,
physicalOccurrences[].containerList,1,1,9.1,string,1,Container 1: [UD-24W 5] DOT 1989 THRU Deputy Director's Chron 1992 Container 1: [UD-24W 6] Regional: Hungary 1989 THRU B…
physicalOccurrences[].copyStatus,11,11,100.0,string,1,Preservation-Reproduction-Reference
physicalOccurrences[].extent,11,11,100.0,string,11,"90 linear feet, 4 linear inches ⁝ 3 linear feet ⁝ 3 linear feet, 1 linear inch"
physicalOccurrences[].holdingsMeasurements,11,11,100.0,array,0,
physicalOccurrences[].holdingsMeasurements[],11,11,100.0,object,0,
physicalOccurrences[].holdingsMeasurements[].count,11,11,100.0,int,9,89 ⁝ 3 ⁝ 12
physicalOccurrences[].holdingsMeasurements[].type,11,11,100.0,string,3,"FRC Carton, Standard ⁝ Letter Archives Box, Narrow 4 inch ⁝ Letter Archives Box, Standard"
physicalOccurrences[].mediaOccurrences,11,11,100.0,array,0,
physicalOccurrences[].mediaOccurrences[],13,11,100.0,object,0,
physicalOccurrences[].mediaOccurrences[].generalMediaTypes,13,11,100.0,array,0,
physicalOccurrences[].mediaOccurrences[].generalMediaTypes[],13,11,100.0,string,3,Loose Sheets ⁝ Magnetic Media ⁝ Photographic Materials
physicalOccurrences[].mediaOccurrences[].specificMediaType,13,11,100.0,string,3,Paper ⁝ Magnetic Disk: Floppy Disk ⁝ Photographic Print
physicalOccurrences[].referenceUnits,11,11,100.0,array,0,
physicalOccurrences[].referenceUnits[],11,11,100.0,object,0,
physicalOccurrences[].referenceUnits[].address1,11,11,100.0,string,1,National Archives at College Park
physicalOccurrences[].referenceUnits[].address2,11,11,100.0,string,1,8601 Adelphi Road
physicalOccurrences[].referenceUnits[].city,11,11,100.0,string,1,College Park
physicalOccurrences[].referenceUnits[].email,11,11,100.0,string,1,Archives2reference@nara.gov
physicalOccurrences[].referenceUnits[].fax,11,11,100.0,string,1,301-837-1752
physicalOccurrences[].referenceUnits[].name,11,11,100.0,string,1,National Archives at College Park - Textual Reference
physicalOccurrences[].referenceUnits[].phone,11,11,100.0,string,1,301-837-3510
physicalOccurrences[].referenceUnits[].postalCode,11,11,100.0,string,1,20740-6001
physicalOccurrences[].referenceUnits[].state,11,11,100.0,string,1,MD
recordType,11,11,100.0,string,1,description
recordsCenterTransferNumbers,11,11,100.0,array,0,
recordsCenterTransferNumbers[],23,11,100.0,string,18,W486-05-0001 ⁝ 486-01-0003 ⁝ W486-04-0003
scopeAndContentNote,5,5,45.5,string,4,This series consists of final deliverables of projects funded by grants or contracts with United States Trade Developmen… ⁝ This series consists of correspondence received and sent by Directors of the U.S. Trade and Development Agency (TDA) whi… ⁝ This series consists of speeches given and talking points used by the Director and other high-level officials of the Tra…
subjects,1,1,9.1,array,0,
subjects[],3,1,9.1,object,0,
subjects[].authorityType,3,1,9.1,string,1,topicalSubject
subjects[].heading,3,1,9.1,string,3,Exports ⁝ Economic development ⁝ Job creation
subjects[].naId,3,1,9.1,int,3,10638081 ⁝ 10639698 ⁝ 10638707
title,11,11,100.0,string,9,Information Resource Center Project Files ⁝ Project Files ⁝ Information Resource Center Project Records
useRestriction,11,11,100.0,object,0,
useRestriction.note,1,1,9.1,string,1,Some or all of the records may be subject to copyright restrictions. Researchers should contact the publisher for furthe…
useRestriction.specificUseRestrictions,1,1,9.1,array,0,
useRestriction.specificUseRestrictions[],1,1,9.1,string,1,Copyright
useRestriction.status,11,11,100.0,string,2,Unrestricted ⁝ Restricted - Possibly
variantControlNumbers,11,11,100.0,array,0,
variantControlNumbers[],48,11,100.0,object,0,
variantControlNumbers[].number,48,11,100.0,string,38,UD-11W 3 ⁝ UD-11W 1 ⁝ UD-10W 1
variantControlNumbers[].type,48,11,100.0,string,3,HMS/MLR Entry Number ⁝ HMS Record Entry ID ⁝ Declassification Project Number
